code,name,description,modifier_type,value,active
CHILDREN_ITEMS,"Дитячі речі (до 30 розміру)","Знижка 30% для дитячих речей до 30 розміру",PERCENTAGE,-30.0,true
MANUAL_CLEANING,"Ручна чистка","Надбавка 20% за ручну чистку",PERCENTAGE,20.0,true
HEAVILY_SOILED_MIN,"Дуже забруднені речі (мінімум)","Надбавка 20% для дуже забруднених речей",PERCENTAGE,20.0,true
HEAVILY_SOILED_MAX,"Дуже забруднені речі (максимум)","Надбавка 100% для дуже забруднених речей",PERCENTAGE,100.0,true
URGENT_48H,"Термінове виконання 48 годин","Надбавка 50% за термінове виконання за 48 годин",PERCENTAGE,50.0,true
URGENT_24H,"Термінове виконання 24 години","Надбавка 100% за термінове виконання за 24 години",PERCENTAGE,100.0,true
FUR_COLLARS,"Хутряні комірі та манжети","Надбавка 30% для виробів з хутряними комірами та манжетами",PERCENTAGE,30.0,true
WATER_REPELLENT_TEXTILE,"Водовідштовхуюче покриття (текстиль)","Надбавка 30% за нанесення водовідштовхуючого покриття на текстиль",PERCENTAGE,30.0,true
NATURAL_SILK,"Натуральний шовк","Надбавка 50% для виробів з натурального шовку, атласу, шифону",PERCENTAGE,50.0,true
LEATHER_TEXTILE_COMBO,"Комбіновані вироби","Надбавка 100% для комбінованих виробів (шкіра + текстиль)",PERCENTAGE,100.0,true
LARGE_SOFT_TOYS,"Великі м'які іграшки","Надбавка 100% за ручну чистку великих м'яких іграшок",PERCENTAGE,100.0,true
BUTTON_SEWING,"Пришивання гудзиків","Фіксована вартість за пришивання гудзика",FIXED_AMOUNT,15.0,true
BLACK_LIGHT_COLORS,"Чорний та світлі тони","Надбавка 20% для виробів чорного та світлих тонів",PERCENTAGE,20.0,true
WEDDING_DRESS,"Весільна сукня","Надбавка 30% для чистки весільної сукні зі шлейфом",PERCENTAGE,30.0,true
LEATHER_IRONING,"Прасування шкіри","Надбавка 70% за прасування шкіряних виробів",PERCENTAGE,70.0,true
WATER_REPELLENT_LEATHER,"Водовідштовхуюче покриття (шкіра)","Надбавка 30% за нанесення водовідштовхуючого покриття на шкіру",PERCENTAGE,30.0,true
DYEING_AFTER_OUR,"Фарбування після нашої чистки","Надбавка 50% за фарбування після нашої чистки",PERCENTAGE,50.0,true
DYEING_AFTER_OTHER,"Фарбування після чужої чистки","Надбавка 100% за фарбування після чистки в іншому місці",PERCENTAGE,100.0,true
LEATHER_INSERTS,"Шкіряні вставки","Надбавка 30% для виробів із шкіряними вставками",PERCENTAGE,30.0,true
PEARL_COATING,"Перламутрове покриття","Надбавка 30% за нанесення перламутрового покриття",PERCENTAGE,30.0,true
ARTIFICIAL_FUR_DISCOUNT,"Штучне хутро","Знижка 20% для дублянок на штучному хутрі",PERCENTAGE,-20.0,true
MANUAL_LEATHER,"Ручна чистка шкіри","Надбавка 30% за ручну чистку шкіряних виробів",PERCENTAGE,30.0,true
